Exercise,Equipment,Difficulty,
Barbell Curl,Barbell,Intermediate,Biceps
Barbell Bent Over Row,Barbell,Intermediate,Biceps
Barbell Reverse Curl,Barbell,Advanced,Biceps
Barbell Landmine Row,Barbell,Intermediate,Biceps
Barbell Long Landmine Row,Barbell,Advanced,Biceps
Barbell Meadows Row,Barbell,Intermediate,Biceps
Barbell Pronated Pendlay Row,Barbell,Advanced,Biceps
Barbell Pronated Row,Barbell,Intermediate,Biceps
Barbell Supinated Pendlay Row,Barbell,Advanced,Biceps
Barbell Supinated Row,Barbell,Advanced,Biceps
Landmine Bicep Curl,Barbell,Intermediate,Biceps
Landmine Concentration Curl,Barbell,Intermediate,Biceps
Landmine T Bar Rows,Barbell,Beginner,Biceps
Barbell Drag Curl,Barbell,Intermediate,Biceps
EZ Bar Reverse Preacher Curl,Barbell,Novice,Biceps
EZ Bar Preacher Curl,Barbell,Novice,Biceps
Dumbbell Curl,Dumbbells,Novice,Biceps
Dumbbell Hammer Curl,Dumbbells,Novice,Biceps
Dumbbell Reverse Curl,Dumbbells,Novice,Biceps
Dumbbell Rear Delt Row,Dumbbells,Intermediate,Biceps
Dumbbell Incline Hammer Curl,Dumbbells,Novice,Biceps
Dumbbell Incline Reverse Curl,Dumbbells,Novice,Biceps
Dumbbell Incline Zottman Curl,Dumbbells,Intermediate,Biceps
Dumbbell Alternating Pendlay Row,Dumbbells,Advanced,Biceps
Dumbbell Kneeling Single Arm Row,Dumbbells,Novice,Biceps
Dumbbell Laying Incline Row,Dumbbells,Novice,Biceps
Dumbbell Pendlay Row,Dumbbells,Intermediate,Biceps
Dumbbell Single Arm Preacher Curl,Dumbbells,Novice,Biceps
Dumbbell Single Arm Row,Dumbbells,Novice,Biceps
Dumbbell Single Arm Row Knee,Dumbbells,Novice,Biceps
Dumbbell Single Arm Spider Curl,Dumbbells,Beginner,Biceps
Dumbbell Spider Curl,Dumbbells,Beginner,Biceps
Dumbbell Twisting Curl,Dumbbells,Novice,Biceps
Lawnmower Row,Dumbbells,Intermediate,Biceps
Dumbbell Concentration Curl,Dumbbells,Beginner,Biceps
Dumbbell Knee Lawnmower Row,Dumbbells,Beginner,Biceps
Dumbbell Supinated Row,Dumbbells,Beginner,Biceps
Dumbbell Preacher Curl,Dumbbells,Novice,Biceps
Dumbbell Incline Curl,Dumbbells,Novice,Biceps
Dumbbell Weighted Chin Ups,Dumbbells,Advanced,Biceps
Dumbbell Laying Curl,Dumbbells,Beginner,Biceps
Dumbbell Bench Braced Rolling Curl,Dumbbells,Intermediate,Biceps
Dumbbell Single Arm Bench Braced Reverse Flat Curl,Dumbbells,Intermediate,Biceps
Dumbbell Bench Braced Reverse Flat Curl,Dumbbells,Intermediate,Biceps
Dumbbell Single Arm Bench Braced Hammer Flat Curl,Dumbbells,Beginner,Biceps
Dumbbell Bench Braced Hammer Flat Curl,Dumbbells,Intermediate,Biceps
Dumbbell Single Arm Bench Braced Flat Curl,Dumbbells,Beginner,Biceps
Dumbbell Bench Braced Flat Curl,Dumbbells,Intermediate,Biceps
Dumbbell Single Arm Bench Braced Reverse Incline Curl,Dumbbells,Intermediate,Biceps
Dumbbell Bench Braced Reverse Incline Curl,Dumbbells,Intermediate,Biceps
Dumbbell Single Arm Bench Braced Hammer Incline Curl,Dumbbells,Intermediate,Biceps
Dumbbell Bench Braced Hammer Incline Curl,Dumbbells,Intermediate,Biceps
Dumbbell Single Arm Bench Braced Incline Curl,Dumbbells,Intermediate,Biceps
Dumbbell Bench Braced Incline Curl,Dumbbells,Beginner,Biceps
Chin Ups,Bodyweight,Intermediate,Biceps
Ring Row,Bodyweight,Novice,Biceps
Ring Curl,Bodyweight,Beginner,Biceps
Bodyweight Assisted Pull Up,Bodyweight,Novice,Biceps
Bodyweight Assisted Chin Up,Bodyweight,Novice,Biceps
Bodyweight Assisted Gironda Chin Up,Bodyweight,Novice,Biceps
Bodyweight Assisted Mixed Grip Pullup,Bodyweight,Novice,Biceps
Bodyweight Underhand Inverted Row,Bodyweight,Beginner,Biceps
Bodyweight Concentration Curl,Bodyweight,Novice,Biceps
Bodyweight Inverted Curl,Bodyweight,Novice,Biceps
Bodyweight Close Grip Inverted Curl,Bodyweight,Novice,Biceps
L Sit Chin Up,Bodyweight,Intermediate,Biceps
Gironda Chin Up,Bodyweight,Advanced,Biceps
Ring Chin Up,Bodyweight,Intermediate,Biceps
Ring Twisting Chin Up,Bodyweight,Advanced,Biceps
Machine Seated Cable Row,Machine,Novice,Biceps
Narrow Pulldown,Machine,Novice,Biceps
Neutral Pulldown,Machine,Novice,Biceps
Underhand Pulldown,Machine,Novice,Biceps
Machine Assisted Pull Up,Machine,Novice,Biceps
Machine Assisted Narrow Pull Up,Machine,Novice,Biceps
Machine Assisted Neutral Chin Up,Machine,Novice,Biceps
Machine Assisted Chin Up,Machine,Novice,Biceps
Machine Underhand Row,Machine,Novice,Biceps
Machine Plate Loaded Pulldown,Machine,Novice,Biceps
Machine Standing Plate Loaded Preacher Curl,Machine,Novice,Biceps
Machine Seated Plate Loaded Preacher Curl,Machine,Novice,Biceps
Machine Bicep Curl,Machine,Novice,Biceps
Kettlebell Goblet Curl,Kettlebells,Novice,Biceps
Kettlebell Concentration Curl,Kettlebells,Intermediate,Biceps
Kettlebell Preacher Curl,Kettlebells,Intermediate,Biceps
Kettlebell Row (Single),Kettlebells,Beginner,Biceps
Kettlebell Rear Delt Row,Kettlebells,Novice,Biceps
Kettlebell Single Arm Curl,Kettlebells,Beginner,Biceps
Kettlebell Single Arm Row,Kettlebells,Novice,Biceps
Kettlebell Alternating Row,Kettlebells,Beginner,Biceps
Kettlebell Curl,Kettlebells,Novice,Biceps
Kettlebell Gorilla Row,Kettlebells,Intermediate,Biceps
Kettlebell Rear Delt Row (Double),Kettlebells,Beginner,Biceps
Kettlebell Reverse Curl,Kettlebells,Beginner,Biceps
Kettlebell Row,Kettlebells,Beginner,Biceps
Kettlebell Single Arm Reverse Curl,Kettlebells,Beginner,Biceps
Kettlebell Single Arm Row On Bench,Kettlebells,Novice,Biceps
Biceps Stretch Variation Five,Stretches,Novice,Biceps
Biceps Stretch Variation Four,Stretches,Novice,Biceps
Biceps Stretch Variation Three,Stretches,Novice,Biceps
Biceps Stretch Variation Two,Stretches,Novice,Biceps
Biceps Stretch Variation One,Stretches,Novice,Biceps
Cable Pull In,Cables,Novice,Biceps
Cable Twisting Curl,Cables,Advanced,Biceps
Cable Single Arm Bayesian Curl,Cables,Beginner,Biceps
Cable Single Arm Reverse Curl,Cables,Beginner,Biceps
Cable Single Arm Hammer Curl,Cables,Beginner,Biceps
Cable Row Bar Standing Row,Cables,Novice,Biceps
Cable Single Arm Underhand Grip Row,Cables,Novice,Biceps
Cable Single Arm Neutral Grip Row,Cables,Novice,Biceps
Cable Supinating Row,Cables,Beginner,Biceps
Cable Archer Row,Cables,Intermediate,Biceps
Cable Seated Bayesian Reverse Curl,Cables,Intermediate,Biceps
Cable Seated Bayesian Hammer Curl,Cables,Beginner,Biceps
Cable Seated Bayesian Curl,Cables,Beginner,Biceps
Cable Bar Curl,Cables,Novice,Biceps
Cable Rope Hammer Curl,Cables,Novice,Biceps
Cable Hammer Bayesian Curl,Cables,Novice,Biceps
Cable Reverse Bayesian Curl,Cables,Beginner,Biceps
Cable Bayesian Curl,Cables,Beginner,Biceps
Cable High Bayesian Curl,Cables,Beginner,Biceps
Band Bayesian Curl,Band,Beginner,Biceps
Band Bayesian Hammer Curl,Band,Intermediate,Biceps
Band Kneeling Single Arm Pulldown,Band,Novice,Biceps
Band Bayesian Reverse Curl,Band,Beginner,Biceps
Band Row,Band,Novice,Biceps
Band High Curl,Band,Novice,Biceps
Band High Hammer Curl,Band,Novice,Biceps
Band High Reverse Curl,Band,Novice,Biceps
Band Curl,Band,Novice,Biceps
Band Reverse Curl,Band,Novice,Biceps
Band Squat Hold Single Arm Row,Band,Novice,Biceps
Band Squat Hold Row,Band,Novice,Biceps
Band Single Arm Pulldown,Band,Novice,Biceps
Band Single Arm Row,Band,Novice,Biceps
Plate Bicep Curl,Plate,Novice,Biceps
Plate Curl To Overhead Press,Plate,Intermediate,Biceps
Plate Curl To Overhead Press To Tricep Extension,Plate,Advanced,Biceps
Plate Squat Hold Curl,Plate,Intermediate,Biceps
Plate Pinch Grip Row,Plate,Intermediate,Biceps
Weighted Chin Ups,Plate,Advanced,Biceps
TRX Curl,TRX,Beginner,Biceps
TRX Hammer Curl,TRX,Beginner,Biceps
TRX Reverse Curl,TRX,Intermediate,Biceps
TRX Rotating Row,TRX,Beginner,Biceps
TRX Single Arm row,TRX,Beginner,Biceps
Bosu Ball Curl,Bosu-Ball,Beginner,Biceps
Bosu Ball Row,Bosu-Ball,Beginner,Biceps
Vitruvian Hammer Curl,Vitruvian,Beginner,Biceps
